CAMIS,DBA,BORO,ZIPCODE,Latitude,Longitude,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE
50000391.0,LA BREA BAKERY,Queens,11430.0,40.64831283,-73.7882815,American,2.0,A,2022-06-02
50065671.0,SOTTO LE STELLE,Queens,11104.0,40.74335387,-73.9203751,Pizza,13.0,A,2022-03-22
50099580.0,MOCHII,Manhattan,10009.0,40.72640407,-73.98441029,Frozen Desserts,8.0,A,2022-07-20
41241023.0,234 CHINA CITY,Brooklyn,11223.0,40.60538379,-73.98224905,Chinese,12.0,A,2022-12-07
41636291.0,NIFOROS CORNER,Queens,11106.0,40.76182683,-73.93953552,Sandwiches,13.0,A,2022-02-01
40727609.0,THE FULL SHILLING,Manhattan,10005.0,40.70576147,-74.00771849,Irish,2.0,A,2022-01-06
50005349.0,YANKY'S PIZZA,Brooklyn,11204.0,40.63318312,-73.98328285,Jewish/Kosher,6.0,A,2022-12-01
50090748.0,TRIPLE RED INC,Brooklyn,11214.0,40.60296692,-73.99557773,Asian/Asian Fusion,12.0,A,2022-11-25
50114243.0,SUPER SUSHI,Brooklyn,11209.0,40.61906595,-74.03286528,Japanese,38.0,C,2022-05-03
50076665.0,PETEE'S CAFE,Brooklyn,11205.0,40.69355304,-73.96468537,Sandwiches/Salads/Mixed Buffet,11.0,A,2022-02-24
41387345.0,DUNKIN,Brooklyn,11211.0,40.71373518,-73.93342902,Donuts,4.0,A,2022-08-08
50098149.0,CAVA,Manhattan,10005.0,40.70583552,-74.0085156,Mediterranean,11.0,A,2022-05-11
50001192.0,88 CAFE,Queens,11373.0,40.74160123,-73.88067765,Bakery Products/Desserts,7.0,A,2022-03-17
50076577.0,BROOKLYN PIZZA MASTERS,Manhattan,10022.0,40.75868844,-73.96265457,Pizza,10.0,A,2022-11-29
50111081.0,CAF_ HESTIA,Manhattan,10038.0,40.70710918,-74.00732911,American,19.0,B,2022-11-29
50097887.0,DOMINOS,Brooklyn,11236.0,40.63343549,-73.91875217,Pizza,12.0,A,2022-01-26
50071524.0,GUAYACOS RESTAURANT,Queens,11373.0,40.74614131,-73.88357832,Latin American,11.0,A,2023-02-09
50127670.0,DELI & GRILL,Manhattan,10033.0,40.8455494,-73.93865312,American,42.0,C,2022-10-05
40715364.0,STARBUCKS,Manhattan,10012.0,40.72734649,-73.99516175,Coffee/Tea,5.0,A,2022-04-15
50058431.0,XIFU FOOD,Brooklyn,11217.0,40.68815535,-73.98198174,Chinese,8.0,A,2022-03-01
41050020.0,COMMONWEALTH,Brooklyn,11215.0,40.66727112,-73.98787024,American,13.0,A,2023-01-06
41685002.0,NEW PUNJAB RESTAURANT & GRILL,Brooklyn,11218.0,40.64058286,-73.9691491,Pakistani,0.0,A,2022-03-30
50048761.0,STARBUCKS COFFEE,Manhattan,10065.0,40.76428561,-73.96457192,Coffee/Tea,7.0,A,2023-01-20
50105066.0,MAYAS SNACK BAR,Brooklyn,11237.0,40.70109935,-73.91079635,Frozen Desserts,9.0,A,2022-03-10
50118266.0,TEN CAKE STUDIO,Brooklyn,11209.0,40.62326046,-74.03112744,Bakery Products/Desserts,12.0,A,2022-05-02
50061111.0,PIZZA STOP,Manhattan,,0.0,0.0,Pizza,12.0,A,2023-03-08
50047762.0,BALADE EASTERN MEDITERRANEAN,Manhattan,10018.0,40.75243312,-73.98817951,Middle Eastern,13.0,A,2022-03-09
50052857.0,AL-AQSA RESTAURANT,Bronx,10462.0,40.83608702,-73.85479848,Bangladeshi,0.0,A,2022-06-14
50076680.0,ZYARA RESTAURANT,Queens,11103.0,40.76753734,-73.91201028,Mediterranean,15.0,B,2022-12-23
41111237.0,THE RAGING SKILLET,Manhattan,10002.0,40.72099109,-73.98229751,American,2.0,A,2022-06-15
41568372.0,MICHAEL'S CAFE & BAR,Queens,11101.0,40.75426851,-73.93586442,American,10.0,A,2023-03-03
50071275.0,Pho Best II,Queens,11354.0,40.75953533,-73.83225376,Southeast Asian,74.0,Z,2023-01-26
50017910.0,LING LING YOUNG,Brooklyn,11231.0,40.68386393,-73.9995457,Chinese,10.0,A,2023-02-27
50117131.0,GRILL POINT,Manhattan,10028.0,40.77710664,-73.95731127,Jewish/Kosher,9.0,A,2022-11-18
50056669.0,WESTVILLE,Brooklyn,11201.0,40.70196525,-73.98964555,American,9.0,A,2022-08-06
50093565.0,AVE COFFEE HOUSE,Queens,11104.0,40.74188226,-73.9197742,Coffee/Tea,10.0,A,2022-09-30
41277471.0,STARBUCKS COFFEE,Manhattan,10001.0,40.74707851,-73.99345685,Coffee/Tea,13.0,A,2022-07-19
41674170.0,EL TUCAN,Queens,11373.0,40.74287864,-73.87399909,Spanish,5.0,Z,2022-12-16
50039083.0,PATSY'S PIZZERIA,Manhattan,10035.0,40.79710246,-73.93461306,Italian,26.0,Z,2023-01-31
